sample_rank,sample_basis,repo_id,repo_name,openrank_2607,stars,contributors,participants_2607,created_at,age_boundary,age_cohort,age_interpretation,llm_native_manual,llm_native_confidence,llm_native_reason,language,collaboration_niche,agent_proximity,study_section,niche_source,niche_review_note,current_landscape_selected,landscape_action,landscape_layer,landscape_section,license,archived,pushed_at,github_status
1,tracked_pool_top_100_by_openrank_2607,1103012935,openclaw/openclaw,462.71,384408,376,281,2025-11-24,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Personal assistant whose core execution loop depends on language models.,TypeScript,agent_application,direct_agent_experience,Personal AI assistants,landscape,,yes,keep,Agent Infra,Personal AI assistants,NOASSERTION,false,2026-07-28T14:57:42Z,ok
2,tracked_pool_top_100_by_openrank_2607,1024554267,NousResearch/hermes-agent,350.21,221762,397,549,2025-07-22,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Adaptive personal agent built around LLM tools memory and skills.,Python,agent_application,direct_agent_experience,Personal AI assistants,landscape,,yes,keep,Agent Infra,Personal AI assistants,MIT,false,2026-07-28T14:34:58Z,ok
3,tracked_pool_top_100_by_openrank_2607,65600975,pytorch/pytorch,333.26,102035,326,149,2016-08-13,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General tensor and neural-network framework with a core value independent of LLMs.,Python,model_infra,supporting_infrastructure,Pre-Train · Framework & parallel,landscape,,yes,keep,Model Infra,Pre-Train · Framework & parallel,NOASSERTION,false,2026-07-28T14:54:03Z,ok
4,tracked_pool_top_100_by_openrank_2607,214587193,supabase/supabase,296.4,107156,394,236,2019-10-12,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,Postgres application platform whose database auth and realtime core predates and remains independent of LLMs.,TypeScript,agent_runtime_infra,supporting_infrastructure,"Memory, knowledge & context",landscape,,no,remove,Agent Infra,"Memory, knowledge & context",Apache-2.0,false,2026-07-28T14:56:16Z,ok
5,tracked_pool_top_100_by_openrank_2607,979115477,bytedance/deer-flow,218.2,78057,370,181,2025-05-07,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Long-horizon agent harness designed for LLM research coding and creation tasks.,Python,agent_framework,agent_building,Multi-agent orchestration,landscape,,yes,keep,Agent Infra,Multi-agent orchestration,MIT,false,2026-07-28T14:54:45Z,ok
6,tracked_pool_top_100_by_openrank_2607,740303686,sgl-project/sglang,215.0,30852,451,112,2024-01-08,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Serving framework specifically optimized for large language and multimodal models.,Python,model_infra,supporting_infrastructure,Serving · Inference,landscape,,yes,keep,Model Infra,Serving · Inference,Apache-2.0,false,2026-07-28T14:19:04Z,ok
7,tracked_pool_top_100_by_openrank_2607,599547518,vllm-project/vllm,189.08,87453,453,164,2023-02-09,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Inference and serving engine created specifically for LLM workloads.,Python,model_infra,supporting_infrastructure,Serving · Inference,landscape,,yes,keep,Model Infra,Serving · Inference,Apache-2.0,false,2026-07-28T14:41:55Z,ok
8,tracked_pool_top_100_by_openrank_2607,1191372811,larksuite/cli,179.37,16671,159,190,2026-03-25,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,mixed,medium,The CLI exposes ordinary Lark operations to both humans and agents; neither audience alone defines the whole product.,Go,agent_runtime_infra,supporting_infrastructure,"Tools, web & computer use",landscape,,yes,add,Agent Infra,"Tools, web & computer use",MIT,false,2026-08-23T14:50:58Z,ok
9,tracked_pool_top_100_by_openrank_2607,1128123594,volcengine/OpenViking,177.61,32361,236,163,2026-01-05,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Context database explicitly designed for agent memory RAG and skills.,Python,agent_runtime_infra,supporting_infrastructure,"Memory, knowledge & context",landscape,,yes,add,Agent Infra,"Memory, knowledge & context",AGPL-3.0,false,2026-08-23T15:02:23Z,ok
10,tracked_pool_top_100_by_openrank_2607,965415649,openai/codex,175.4,102090,471,122,2025-04-13,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Coding agent whose core behavior depends on an LLM.,Rust,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,Apache-2.0,false,2026-07-28T14:36:28Z,ok
