repo_name,number,html_url,llm_native_manual,collaboration_niche,first_agent_commit_sha,first_agent_commit_author,first_agent_commit_index,commits_before_first_agent,later_agent_commits,later_human_commits,later_automation_commits,later_unknown_commits,text_lines_in_first_agent_patch,retained_exact_lines,human_rewritten_or_removed_lines,agent_revised_or_removed_lines,automation_rewritten_or_removed_lines,unknown_rewritten_or_removed_lines,retained_exact_share,human_rewrite_share,agent_revision_share,automation_revision_share,unknown_revision_share,collaboration_path,lineage_status,lineage_note
vercel/ai,18818,https://github.com/vercel/ai/pull/18818,llm_native,agent_framework,564b0ffe8b41c20735d90f2185be969a07fff262,ai-sdk-factory,1,0,5,0,0,0,172,0,0,172,0,0,0.0,0.0,1.0,0.0,0.0,agent_iterates_to_merge,ok,
warpdotdev/warp,13382,https://github.com/warpdotdev/warp/pull/13382,mixed,agent_application,22fe39dcf2d6f613253aeb1290a8801b0b9e4fde,oz-agent,1,0,1,1,0,0,44,31,12,1,0,0,0.704545,0.272727,0.022727,0.0,0.0,agent_then_human,ok,
open-metadata/OpenMetadata,25243,https://github.com/open-metadata/OpenMetadata/pull/25243,mixed,model_infra,c602f9c8f73dcc7db05eeae2fc3e6d86c0c04174,Copilot,2,1,2,14,0,0,62,21,29,12,0,0,0.33871,0.467742,0.193548,0.0,0.0,agent_then_human,ok,The first attributable Agent patch appears after 1 earlier PR commit(s).
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,traditional,model_infra,7686a239d520374fbe394f400e6fc1ef4e942994,Copilot,2,1,2,8,0,0,611,533,78,0,0,0,0.87234,0.12766,0.0,0.0,0.0,agent_then_human,ok,The first attributable Agent patch appears after 1 earlier PR commit(s).
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,llm_native,agent_framework,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,openhands-agent,2,1,4,3,0,0,11,0,4,7,0,0,0.0,0.363636,0.636364,0.0,0.0,agent_then_human,ok,The first attributable Agent patch appears after 1 earlier PR commit(s).
mlflow/mlflow,19721,https://github.com/mlflow/mlflow/pull/19721,mixed,model_infra,9810c260cd20d4c43aed330c1a04d927d14f7a3b,claude,1,0,0,0,0,3,262,118,0,0,0,144,0.450382,0.0,0.0,0.0,0.549618,agent_then_unattributed,ok,Some changed lines were first replaced by a commit without a resolvable GitHub author.
mlflow/mlflow,21621,https://github.com/mlflow/mlflow/pull/21621,mixed,model_infra,51fa0ecc8ae7a2ec84fe7359bc7613c80cac68a4,Copilot,2,1,1,0,0,0,33,33,0,0,0,0,1.0,0.0,0.0,0.0,0.0,agent_iterates_to_merge,ok,The first attributable Agent patch appears after 1 earlier PR commit(s).
mlflow/mlflow,22355,https://github.com/mlflow/mlflow/pull/22355,mixed,model_infra,9b1972431feb98326fd05bd8c4d22863b2ed1947,Copilot,1,0,0,3,0,0,25,25,0,0,0,0,1.0,0.0,0.0,0.0,0.0,agent_then_human,ok,
mlflow/mlflow,22659,https://github.com/mlflow/mlflow/pull/22659,mixed,model_infra,8e7150e691e545ed66cca287dcbf965b7f9c790f,Copilot,2,1,1,0,0,0,5,4,0,1,0,0,0.8,0.0,0.2,0.0,0.0,agent_iterates_to_merge,ok,The first attributable Agent patch appears after 1 earlier PR commit(s).
kvcache-ai/Mooncake,2686,https://github.com/kvcache-ai/Mooncake/pull/2686,llm_native,model_infra,,,,,,,,,,,,,,,,,,,,unresolved,not_line_traceable,"Agent attribution is attached only to a merge commit; first-parent additions include upstream history, so line authorship is unresolved."
