section,metric,segment,period,numerator,denominator,rate,unit,source,quality_note
classification,llm_native_review,llm_native,2026-08-31,68,100,0.6800,repositories,insights/260912_open_collaboration_ai/research/collaboration-sample-top100-2607.csv,Researcher-reviewed label with confidence and reason per repository.
classification,llm_native_review,mixed,2026-08-31,14,100,0.1400,repositories,insights/260912_open_collaboration_ai/research/collaboration-sample-top100-2607.csv,Researcher-reviewed label with confidence and reason per repository.
classification,llm_native_review,traditional,2026-08-31,18,100,0.1800,repositories,insights/260912_open_collaboration_ai/research/collaboration-sample-top100-2607.csv,Researcher-reviewed label with confidence and reason per repository.
classification,date_split_insufficient,mixed_or_direct_contradiction,2026-08-31,19,100,0.1900,repositories,insights/260912_open_collaboration_ai/research/collaboration-sample-top100-2607.csv,Includes 14 mixed projects and 5 direct contradictions to the date proxy.
collaboration_surface,issues_enabled,top100,2026-08-31,100,100,1.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
collaboration_surface,pull_requests_enabled,top100,2026-08-31,100,100,1.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
collaboration_surface,pull_request_creation_all,top100,2026-08-31,98,100,0.9800,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
collaboration_surface,pull_request_creation_collaborators_only,top100,2026-08-31,2,100,0.0200,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
collaboration_surface,discussions_enabled,top100,2026-08-31,74,100,0.7400,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
collaboration_surface,contributing_path_observed,top100,2026-08-31,89,100,0.8900,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
collaboration_surface,issue_template_observed,top100,2026-08-31,95,100,0.9500,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
collaboration_surface,pull_request_template_observed,top100,2026-08-31,84,100,0.8400,repositories,insights/260912_open_collaboration_ai/research/collaboration-surfaces-top100-260829.csv,Current GitHub repository setting. Creation policy is separate from maintainer acceptance and merge outcomes.
agent_marker,active_instruction,observable_repositories,2022,0,28,0.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,instruction_or_active_config,observable_repositories,2022,0,28,0.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,active_instruction,observable_repositories,2023,0,51,0.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,instruction_or_active_config,observable_repositories,2023,0,51,0.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,active_instruction,observable_repositories,2024,0,62,0.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,instruction_or_active_config,observable_repositories,2024,0,62,0.0000,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,active_instruction,observable_repositories,2025,42,86,0.4884,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,instruction_or_active_config,observable_repositories,2025,48,86,0.5581,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,active_instruction,observable_repositories,2026,86,100,0.8600,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
agent_marker,instruction_or_active_config,observable_repositories,2026,92,100,0.9200,repositories,insights/260912_open_collaboration_ai/research/collaboration-agent-markers-2022-2026-summary.csv,Targeted root and .github path scan; structural missing years excluded.
