sample_rank,repo_name,automated_policy_class,has_pull_requests,pull_request_creation_policy,pull_request_creation_access,final_policy_class,gating_scope,manual_review_status,review_note,evidence_url,evidence_context,evidence_grade
1,openclaw/openclaw,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
2,NousResearch/hermes-agent,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
3,pytorch/pytorch,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
4,supabase/supabase,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
5,bytedance/deer-flow,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
6,sgl-project/sglang,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
7,vllm-project/vllm,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
8,larksuite/cli,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
9,volcengine/OpenViking,gated_candidate,true,ALL,anyone_can_create,conditional_gate,public interfaces and persisted behavior,manually_reviewed,Discussion is requested before changes affecting public semantics.,https://github.com/volcengine/OpenViking/blob/cd8580c6f8a50ec44593618b3102799ab0b553fd/CONTRIBUTING.md,"a feature, describe the problem and expected behavior before designing the implementation. Open an issue or start a discussion before implementing a change that affects: - public REST, SDK, CLI, MCP, or configuration semantics; - persisted data, storage schemas, VFS/AGFS paths, or encrypted file behavior; - asynchronous",B_declared_policy
10,openai/codex,closed_candidate,true,COLLABORATORS_ONLY,collaborators_only,collaborators_only,pull request creation,api_setting,GitHub pullRequestCreationPolicy is COLLABORATORS_ONLY.,,,A_api_setting
11,ollama/ollama,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
12,langchain-ai/deepagents,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
13,anomalyco/opencode,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
14,flashinfer-ai/flashinfer,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
15,NVIDIA/TensorRT-LLM,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
16,anthropics/claude-code,undetermined,true,COLLABORATORS_ONLY,collaborators_only,collaborators_only,pull request creation,api_setting,GitHub pullRequestCreationPolicy is COLLABORATORS_ONLY.,,,A_api_setting
17,jax-ml/jax,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
18,ai-dynamo/dynamo,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
19,apache/airflow,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
20,BerriAI/litellm,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
21,ggml-org/llama.cpp,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
22,n8n-io/n8n,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
23,ray-project/ray,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
24,apache/spark,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
25,coder/coder,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
26,vercel/ai,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
27,mastra-ai/mastra,gated_candidate,true,ALL,anyone_can_create,issue_first,code contributions,manually_reviewed,The README asks code contributors to discuss an Issue before a PR.,https://github.com/mastra-ai/mastra/blob/75dd419e613fe9c39f846ffc500716141b74fda6/README.md,"details on how to get involved. If you are a developer and would like to contribute with code, please open an issue to discuss before opening a Pull Request. Information about the project setup can be found in the [development documentation](./DEVELOPMENT.md) ## Support We have an [open community Discord](https://",B_declared_policy
28,vllm-project/vllm-omni,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
29,QwenLM/qwen-code,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
30,langgenius/dify,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
31,warpdotdev/warp,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
32,paperclipai/paperclip,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
33,vllm-project/vllm-ascend,undetermined,true,ALL,anyone_can_create,no_detected_policy_signal,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
34,open-metadata/OpenMetadata,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
35,microsoft/onnxruntime,inviting_candidate,true,ALL,anyone_can_create,explicit_invitation,,automatic_nonrestrictive,No restrictive candidate required manual review.,,,B_scan_no_restrictive_match
